Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","0115","Barley","2000","2000","tonnes","1386","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","0115","Barley","2000","2000","1000 US$","341","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5608","Import Quantity","02111","Cattle","2000","2000","Head","","M","Missing value (data cannot exist, not applicable)"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","02111","Cattle","2000","2000","1000 US$","","O","Missing value"
"TCL","Crops and livestock products","051","Armenia","5908","Export Quantity","02111","Cattle","2000","2000","Head","","M","Missing value (data cannot exist, not applicable)"
"TCL","Crops and livestock products","051","Armenia","5922","Export Value","02111","Cattle","2000","2000","1000 US$","","O","Missing value"
"TCL","Crops and livestock products","051","Armenia","5609","Import Quantity","02151","Chickens","2000","2000","1000 Head","719","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","02151","Chickens","2000","2000","1000 US$","732","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5909","Export Quantity","02151","Chickens","2000","2000","1000 Head","","M","Missing value (data cannot exist, not applicable)"
"TCL","Crops and livestock products","051","Armenia","5922","Export Value","02151","Chickens","2000","2000","1000 US$","","O","Missing value"
"TCL","Crops and livestock products","051","Armenia","5608","Import Quantity","02123","Goats","2000","2000","Head","30","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","02123","Goats","2000","2000","1000 US$","16","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5908","Export Quantity","02123","Goats","2000","2000","Head","","M","Missing value (data cannot exist, not applicable)"
"TCL","Crops and livestock products","051","Armenia","5922","Export Value","02123","Goats","2000","2000","1000 US$","","O","Missing value"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","0117","Oats","2000","2000","tonnes","","O","Missing value"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","0117","Oats","2000","2000","1000 US$","","O","Missing value"
